prize,security_code,manual_code
10,T00012400100000010015257399123,5257399123
0,T00012400100000010026886355749,6886355749
0,T00012400100000010037052911772,7052911772
0,T00012400100000010044957437943,4957437943
0,T00012400100000010059775344599,9775344599
10,T00012400100000010060124348978,0124348978
0,T00012400100000010070817129652,0817129652
0,T00012400100000010083381743691,3381743691
0,T00012400100000010099278269814,9278269814
0,T00012400100000010107340427559,7340427559
0,T00012400100000010113017745193,3017745193
0,T00012400100000010123747734354,3747734354
0,T00012400100000010137299016182,7299016182
10,T00012400100000010144185006205,4185006205
0,T00012400100000010159333789646,9333789646
0,T00012400100000010161368611821,1368611821
0,T00012400100000010173259058092,3259058092
0,T00012400100000010180720058319,0720058319
10,T00012400100000010193512517446,3512517446
0,T00012400100000010204566510554,4566510554
0,T00012400100000010216365686441,6365686441
10,T00012400100000010222868966141,2868966141
0,T00012400100000010232445414828,2445414828
0,T00012400100000010243635956839,3635956839
0,T00012400100000010255629913460,5629913460
0,T00012400100000010268892854374,8892854374
0,T00012400100000010277655123035,7655123035
0,T00012400100000010289595891074,9595891074
0,T00012400100000010293105481366,3105481366
10,T00012400100000010306233502701,6233502701
0,T00012400100000010310035231539,0035231539
10,T00012400100000010320783800243,0783800243
0,T00012400100000010331731773408,1731773408
0,T00012400100000010348218168961,8218168961
0,T00012400100000010351986768351,1986768351
0,T00012400100000010366689735367,6689735367
0,T00012400100000010379693240624,9693240624
0,T00012400100000010388064134515,8064134515
0,T00012400100000010391059703448,1059703448
20,T00012400100000010400323118989,0323118989
100,T00012400100000010410961143283,0961143283
0,T00012400100000010425393924502,5393924502
0,T00012400100000010433529705609,3529705609
0,T00012400100000010445888473962,5888473962
0,T00012400100000010456531838039,6531838039
20,T00012400100000010463155817173,3155817173
0,T00012400100000010476617466603,6617466603
0,T00012400100000010484083469926,4083469926
0,T00012400100000010498855141439,8855141439
0,T00012400100000010509023103224,9023103224
0,T00012400100000010512758212090,2758212090
20,T00012400100000010529876510273,9876510273
0,T00012400100000010532164418416,2164418416
0,T00012400100000010543057403455,3057403455
0,T00012400100000010551972083650,1972083650
0,T00012400100000010565465580874,5465580874
0,T00012400100000010577078232761,7078232761
0,T00012400100000010586735889013,6735889013
50,T00012400100000010597701619883,7701619883
0,T00012400100000010602997177032,2997177032
10,T00012400100000010619089278078,9089278078
0,T00012400100000010627873723383,7873723383
0,T00012400100000010633903626947,3903626947
0,T00012400100000010641629244757,1629244757
0,T00012400100000010653615668382,3615668382
0,T00012400100000010664087087303,4087087303
20,T00012400100000010671482227340,1482227340
0,T00012400100000010689991737855,9991737855
0,T00012400100000010694975380543,4975380543
0,T00012400100000010704769879879,4769879879
0,T00012400100000010718288710791,8288710791
20,T00012400100000010722115912064,2115912064
0,T00012400100000010732199664475,2199664475
0,T00012400100000010744079385057,4079385057
0,T00012400100000010754580235096,4580235096
0,T00012400100000010768324840550,8324840550
0,T00012400100000010777139684785,7139684785
10,T00012400100000010785178423609,5178423609
0,T00012400100000010791011530782,1011530782
0,T00012400100000010800084666326,0084666326
0,T00012400100000010818704745003,8704745003
10,T00012400100000010827753295052,7753295052
0,T00012400100000010839962678189,9962678189
0,T00012400100000010849980012923,9980012923
0,T00012400100000010856770333448,6770333448
0,T00012400100000010861948087844,1948087844
0,T00012400100000010875417639876,5417639876
0,T00012400100000010889239335228,9239335228
0,T00012400100000010890714473228,0714473228
10,T00012400100000010905022554303,5022554303
0,T00012400100000010913966476273,3966476273
0,T00012400100000010927864429275,7864429275
0,T00012400100000010935178778104,5178778104
0,T00012400100000010948851122470,8851122470
10,T00012400100000010959297138791,9297138791
20,T00012400100000010960133791243,0133791243
0,T00012400100000010979719240441,9719240441
0,T00012400100000010987497851580,7497851580
0,T00012400100000010993267133482,3267133482
0,T00012400100000011002149737916,2149737916
0,T00012400100000020017460271347,7460271347
20,T00012400100000020022280323243,2280323243
0,T00012400100000020034076876067,4076876067
0,T00012400100000020043708494060,3708494060
0,T00012400100000020053075319294,3075319294
10,T00012400100000020067841011950,7841011950
0,T00012400100000020075150143315,5150143315
0,T00012400100000020088015393895,8015393895
0,T00012400100000020097769420374,7769420374
0,T00012400100000020102976453648,2976453648
0,T00012400100000020112100681989,2100681989
0,T00012400100000020125171975141,5171975141
0,T00012400100000020138048221613,8048221613
50,T00012400100000020142583538570,2583538570
0,T00012400100000020156480260310,6480260310
0,T00012400100000020162836761039,2836761039
0,T00012400100000020179696717883,9696717883
0,T00012400100000020187808601434,7808601434
0,T00012400100000020192542992331,2542992331
20,T00012400100000020206526899920,6526899920
0,T00012400100000020212912331721,2912331721
0,T00012400100000020227003604815,7003604815
0,T00012400100000020230924122811,0924122811
0,T00012400100000020244209100072,4209100072
20,T00012400100000020253835247287,3835247287
0,T00012400100000020269259015480,9259015480
10,T00012400100000020274300349794,4300349794
0,T00012400100000020286029676275,6029676275
0,T00012400100000020297282876539,7282876539
0,T00012400100000020306297463489,6297463489
0,T00012400100000020319602792822,9602792822
0,T00012400100000020323672488723,3672488723
0,T00012400100000020333893466452,3893466452
20,T00012400100000020348486413152,8486413152
0,T00012400100000020350243149137,0243149137
0,T00012400100000020363623822697,3623822697
0,T00012400100000020376660078413,6660078413
500,T00012400100000020382822054411,2822054411
0,T00012400100000020397040331943,7040331943
20,T00012400100000020402107023885,2107023885
100,T00012400100000020416636699336,6636699336
0,T00012400100000020428943743728,8943743728
0,T00012400100000020431110921620,1110921620
0,T00012400100000020440982908443,0982908443
0,T00012400100000020456604984432,6604984432
0,T00012400100000020468587488814,8587488814
0,T00012400100000020477925453830,7925453830
0,T00012400100000020485453920432,5453920432
0,T00012400100000020496448646068,6448646068
10,T00012400100000020506285675951,6285675951
0,T00012400100000020514218441899,4218441899
0,T00012400100000020529609745225,9609745225
10,T00012400100000020538706178851,8706178851
0,T00012400100000020546258386314,6258386314
0,T00012400100000020558443865161,8443865161
0,T00012400100000020568852125631,8852125631
0,T00012400100000020575783755577,5783755577
0,T00012400100000020584072019961,4072019961
10,T00012400100000020592115084882,2115084882
0,T00012400100000020604495938811,4495938811
0,T00012400100000020619314902244,9314902244
0,T00012400100000020628404316741,8404316741
0,T00012400100000020638631617315,8631617315
10,T00012400100000020647317862065,7317862065
0,T00012400100000020651988229663,1988229663
0,T00012400100000020660537002301,0537002301
0,T00012400100000020674406458566,4406458566
0,T00012400100000020684021670196,4021670196
10,T00012400100000020692983500435,2983500435
0,T00012400100000020706010444093,6010444093
10,T00012400100000020716395484847,6395484847
0,T00012400100000020727590507595,7590507595
0,T00012400100000020739651707894,9651707894
0,T00012400100000020740089527812,0089527812
0,T00012400100000020758221683369,8221683369
0,T00012400100000020767092608113,7092608113
0,T00012400100000020774446474781,4446474781
0,T00012400100000020783171405992,3171405992
0,T00012400100000020790416912952,0416912952
10,T00012400100000020801000227794,1000227794
10,T00012400100000020816509391035,6509391035
0,T00012400100000020826547604240,6547604240
0,T00012400100000020837610020958,7610020958
0,T00012400100000020846499441593,6499441593
0,T00012400100000020852284011939,2284011939
0,T00012400100000020867500045651,7500045651
0,T00012400100000020871584002092,1584002092
0,T00012400100000020884812740629,4812740629
0,T00012400100000020895896949975,5896949975
10,T00012400100000020902509246929,2509246929
0,T00012400100000020914386377519,4386377519
0,T00012400100000020927769848163,7769848163
0,T00012400100000020936806272196,6806272196
0,T00012400100000020944397221731,4397221731
20,T00012400100000020952765404860,2765404860
0,T00012400100000020964136095394,4136095394
0,T00012400100000020978727018613,8727018613
0,T00012400100000020981961286450,1961286450
10,T00012400100000020998036859498,8036859498
0,T00012400100000021001517143314,1517143314
0,T00012400100000030012073578203,2073578203
0,T00012400100000030024606330378,4606330378
10,T00012400100000030031833283530,1833283530
0,T00012400100000030040292567629,0292567629
0,T00012400100000030056769843629,6769843629
20,T00012400100000030066847167313,6847167313
0,T00012400100000030070243721211,0243721211
0,T00012400100000030088148917319,8148917319
0,T00012400100000030099256878940,9256878940
0,T00012400100000030105294164606,5294164606
0,T00012400100000030112919713624,2919713624
0,T00012400100000030124024207932,4024207932
0,T00012400100000030132035932278,2035932278
0,T00012400100000030143645281681,3645281681
10,T00012400100000030152024515727,2024515727
0,T00012400100000030165667267788,5667267788
0,T00012400100000030171821506936,1821506936
0,T00012400100000030180483695322,0483695322
10,T00012400100000030191388209490,1388209490
0,T00012400100000030202306199810,2306199810
0,T00012400100000030211717608949,1717608949
0,T00012400100000030225924065982,5924065982
0,T00012400100000030231648965326,1648965326
10,T00012400100000030249662745224,9662745224
0,T00012400100000030251524995042,1524995042
0,T00012400100000030268124876271,8124876271
20,T00012400100000030270931993983,0931993983
0,T00012400100000030283689135236,3689135236
0,T00012400100000030292592529449,2592529449
0,T00012400100000030308048030772,8048030772
0,T00012400100000030314500902856,4500902856
0,T00012400100000030323299025865,3299025865
10,T00012400100000030334337177181,4337177181
0,T00012400100000030348443987873,8443987873
0,T00012400100000030352664971680,2664971680
0,T00012400100000030361374205863,1374205863
100,T00012400100000030378016614182,8016614182
0,T00012400100000030383573839080,3573839080
0,T00012400100000030398002624797,8002624797
0,T00012400100000030405583918589,5583918589
0,T00012400100000030412164254898,2164254898
0,T00012400100000030427851697875,7851697875
20,T00012400100000030439801005988,9801005988
0,T00012400100000030444842659368,4842659368
0,T00012400100000030458066915110,8066915110
0,T00012400100000030468339470258,8339470258
0,T00012400100000030470410216582,0410216582
10,T00012400100000030485600623745,5600623745
200,T00012400100000030491130075274,1130075274
0,T00012400100000030503560407513,3560407513
10,T00012400100000030519643886756,9643886756
0,T00012400100000030529793550833,9793550833
0,T00012400100000030539389983937,9389983937
0,T00012400100000030541261092691,1261092691
0,T00012400100000030551358497699,1358497699
0,T00012400100000030565546562768,5546562768
0,T00012400100000030571268826244,1268826244
20,T00012400100000030581894212535,1894212535
0,T00012400100000030599527025454,9527025454
0,T00012400100000030606298590534,6298590534
0,T00012400100000030616820626988,6820626988
0,T00012400100000030628942730358,8942730358
0,T00012400100000030632429777108,2429777108
0,T00012400100000030645234474926,5234474926
20,T00012400100000030652987910354,2987910354
10,T00012400100000030662473890698,2473890698
0,T00012400100000030679739063765,9739063765
0,T00012400100000030684824946759,4824946759
0,T00012400100000030694671866306,4671866306
0,T00012400100000030701793950627,1793950627
0,T00012400100000030717977633078,7977633078
0,T00012400100000030728658395499,8658395499
0,T00012400100000030733979453555,3979453555
10,T00012400100000030748716770529,8716770529
0,T00012400100000030750471389620,0471389620
0,T00012400100000030764176945808,4176945808
0,T00012400100000030779237499987,9237499987
0,T00012400100000030782185109234,2185109234
0,T00012400100000030791817935989,1817935989
50,T00012400100000030804287818646,4287818646
0,T00012400100000030816737558677,6737558677
0,T00012400100000030828352306207,8352306207
20,T00012400100000030834538517495,4538517495
0,T00012400100000030842425009497,2425009497
0,T00012400100000030854952174289,4952174289
0,T00012400100000030866208509574,6208509574
0,T00012400100000030874925655678,4925655678
